threshold,seed,n_alpha,raw_root_like_count,raw_root_like_fraction,local_root_like_count,local_root_like_fraction,local_target_count,local_candidate_alternate_count
0.01,1234,11,0,0.0,1,0.09090909090909091,1,0
0.01,2345,11,0,0.0,1,0.09090909090909091,1,0
0.01,3456,11,0,0.0,1,0.09090909090909091,1,0
0.001,1234,11,0,0.0,1,0.09090909090909091,1,0
0.001,2345,11,0,0.0,1,0.09090909090909091,1,0
0.001,3456,11,0,0.0,1,0.09090909090909091,1,0
0.0001,1234,11,0,0.0,1,0.09090909090909091,1,0
0.0001,2345,11,0,0.0,1,0.09090909090909091,1,0
0.0001,3456,11,0,0.0,1,0.09090909090909091,1,0
1e-05,1234,11,0,0.0,1,0.09090909090909091,1,0
1e-05,2345,11,0,0.0,1,0.09090909090909091,1,0
1e-05,3456,11,0,0.0,1,0.09090909090909091,1,0
1e-06,1234,11,0,0.0,1,0.09090909090909091,1,0
1e-06,2345,11,0,0.0,1,0.09090909090909091,1,0
1e-06,3456,11,0,0.0,1,0.09090909090909091,1,0
