alpha,Mach,N,gep_cr,gep_ci,gep_omega_i,distance_to_previous,distance_to_shooting,overlap_to_previous,overlap_to_reference,peak_y,peak_amp,centroid_y,spread_y,phase_span,blumen_ci_target,blumen_ci_abs_err,cr_floor_term,low_ci_term,score,selection_source,success,accepted,shooting_cr,shooting_ci,shooting_omega_i,shooting_spectral_success,reference_cr,reference_ci
0.2,1.3,561,0.766497361544398,0.00500183734569255,0.0010003674691385102,0.0,0.01113277323570164,1.0,1.0,-7.105263157894739,0.9999999999999999,0.15629807641996515,1.8390818595481089,3.136892957776151,0.020247231045348518,,0.0,0.3330883539076599,0.0,reference_anchor,True,True,0.7616080729166668,1e-06,2e-07,True,0.766497361544398,0.00500183734569255
0.2,1.275,561,0.7484313146446543,0.005519624046567929,0.0011039248093135858,0.018095702883672453,0.47607274022296103,0.9987976501374503,0.9987976501374503,-7.105263157894739,,0.15178755405861002,1.8639973070333062,3.135181974915812,0.02101301085949478,0.01549338681292685,0.0,0.2640501271242761,0.8521544287028795,beam_search,True,False,0.28134521484375,0.05155175781249999,0.010310351562499999,True,0.766497361544398,0.00500183734569255
0.2,1.25,561,0.7484393149038551,0.005726957498371597,0.0011453914996743194,0.0004147440718016054,0.4905442889992375,0.9993715363382232,0.9964337417632809,-7.105263157894739,,0.1466211893908834,1.8842536166582713,3.133886522032708,0.021778790673641038,0.01605183317526944,0.0,0.23640566688378703,0.6700676666123624,beam_search,True,False,0.26803873697916675,0.05534798177083333,0.011069596354166667,True,0.766497361544398,0.00500183734569255
0.2,1.2,561,0.7484829188797051,0.006391438858160277,0.0012782877716320555,0.0013296778620163546,0.521288346212931,0.9965997736828369,0.9861113704115634,-7.105263157894739,,0.1255886613964504,1.9377058634223483,3.1304733483489797,0.023310350301933562,0.016918911443773284,0.0,0.1478081522452963,0.6794933600583536,beam_search,True,False,0.23985351562499993,0.06348274739583332,0.012696549479166664,True,0.766497361544398,0.00500183734569255
