alpha,Mach,y,p_real,p_imag,p_abs,rho_real,rho_imag,rho_abs
0.2,1.2,-80.0,0.19818491785621942,0.0,0.19818491785621942,0.28538628171295594,0.0,0.28538628171295594
0.2,1.2,-78.78973267448637,0.1959649898873,-0.053638731571765456,0.20317330234594677,0.282189585437712,-0.07723977346334225,0.29256955537816337
0.2,1.2,-77.61496545990641,0.17994713302352539,-0.10459151212077007,0.20813542488268433,0.25912387155387656,-0.15061177745390888,0.2997150118310654
0.2,1.2,-76.47415858691252,0.15172211270795707,-0.1495969625332984,0.21307006050535374,0.2184798422994582,-0.2154196260479497,0.3068208871277094
0.2,1.2,-75.36586006393593,0.11352216404814298,-0.18608142361944435,0.2179760948966941,0.1634719162293259,-0.2679572500119999,0.3138855766512395
0.2,1.2,-74.28869951012976,0.06798327226489541,-0.2122298733648716,0.22285251727614014,0.09789591206144939,-0.3056110176454151,0.3209076248776418
0.2,1.2,-73.24138250105172,0.01792427851365158,-0.22699182313109237,0.22769841353995438,0.025810961059658275,-0.326868225308773,0.3278857154975343
0.2,1.2,-72.2226853780217,-0.033845072720680866,-0.23003649207498558,0.2325129601412211,-0.048736904717780444,-0.3312525485879792,0.33481866260335835
0.2,1.2,-71.23145047739936,-0.0846804173036681,-0.2216716994946794,0.2372954180585517,-0.12193980091728206,-0.31920724727233835,0.34170540200431443
0.2,1.2,-70.26658174067263,-0.1322210263135111,-0.2027398423836665,0.24204512696840672,-0.19039827789145597,-0.29194537303247975,0.34854498283450563
0.2,1.2,-69.32704067035749,-0.17447095796480225,-0.17450250133279943,0.246761500531504,-0.2512381794693152,-0.25128360191923116,0.35533656076536574
0.2,1.2,-68.41184260034508,-0.20984626552495406,-0.13852306794710462,0.2514440206253624,-0.30217862235593385,-0.19947321784383065,0.3620793897005219
0.2,1.2,-67.52005325253052,-0.23719286120125616,-0.09655453775464681,0.25609223370858375,-0.34155772012980884,-0.13903853436669142,0.36877281654036054
0.2,1.2,-66.65078555441447,-0.25578025414649364,-0.050437557642906715,0.26070574529961243,-0.36832356597095084,-0.07263008300578566,0.37541627323144194
0.2,1.2,-65.80319669488792,-0.2652765879295601,-0.0020119064706082337,0.26528421715434963,-0.38199828661856655,-0.0028971453176758564,0.3820092727022634
0.2,1.2,-64.97648539765817,-0.26571009933159095,0.046956878556752124,0.26982736208657104,-0.38262254303749094,0.06761790512172305,0.38855140140466227
0.2,1.2,-64.16988939377737,-0.25742167418499223,0.09483534089920433,0.27433494167472106,-0.3706872108263888,0.1365628908948542,0.3950423160115983
0.2,1.2,-63.38268307651139,-0.24101250593731474,0.1401648400976797,0.2788067617863532,-0.34705800854973323,0.20183736974065877,0.4014817369723486
