benchmark_id,mach_index,alpha_index,Mach,alpha,primary_chart
400,20,0,1.738,0.05775,C30
401,20,1,1.738,0.07325000000000001,C30
402,20,2,1.738,0.08875,C30
403,20,3,1.738,0.10425000000000001,C30
404,20,4,1.738,0.11975,C31
405,20,5,1.738,0.13525,C31
406,20,6,1.738,0.15075,C31
407,20,7,1.738,0.16625,C31
408,20,8,1.738,0.18175,C31
409,20,9,1.738,0.19725,C31
410,20,10,1.738,0.21275,C32
411,20,11,1.738,0.22824999999999998,C32
412,20,12,1.738,0.24375,C32
413,20,13,1.738,0.25925,C32
414,20,14,1.738,0.27475,C32
415,20,15,1.738,0.29025,C32
416,20,16,1.738,0.30574999999999997,C32
417,20,17,1.738,0.32125000000000004,C32
418,20,18,1.738,0.33675,C32
419,20,19,1.738,0.35224999999999995,C32
420,21,0,1.7739999999999998,0.05775,C30
421,21,1,1.7739999999999998,0.07325000000000001,C30
422,21,2,1.7739999999999998,0.08875,C30
423,21,3,1.7739999999999998,0.10425000000000001,C30
424,21,4,1.7739999999999998,0.11975,C31
425,21,5,1.7739999999999998,0.13525,C31
426,21,6,1.7739999999999998,0.15075,C31
427,21,7,1.7739999999999998,0.16625,C31
428,21,8,1.7739999999999998,0.18175,C31
429,21,9,1.7739999999999998,0.19725,C31
430,21,10,1.7739999999999998,0.21275,C32
431,21,11,1.7739999999999998,0.22824999999999998,C32
432,21,12,1.7739999999999998,0.24375,C32
433,21,13,1.7739999999999998,0.25925,C32
434,21,14,1.7739999999999998,0.27475,C32
435,21,15,1.7739999999999998,0.29025,C32
436,21,16,1.7739999999999998,0.30574999999999997,C32
437,21,17,1.7739999999999998,0.32125000000000004,C32
438,21,18,1.7739999999999998,0.33675,C32
439,21,19,1.7739999999999998,0.35224999999999995,C32
440,22,0,1.8099999999999998,0.05775,C30
441,22,1,1.8099999999999998,0.07325000000000001,C30
442,22,2,1.8099999999999998,0.08875,C30
443,22,3,1.8099999999999998,0.10425000000000001,C30
444,22,4,1.8099999999999998,0.11975,C31
445,22,5,1.8099999999999998,0.13525,C31
446,22,6,1.8099999999999998,0.15075,C31
447,22,7,1.8099999999999998,0.16625,C31
448,22,8,1.8099999999999998,0.18175,C31
449,22,9,1.8099999999999998,0.19725,C31
450,22,10,1.8099999999999998,0.21275,C32
451,22,11,1.8099999999999998,0.22824999999999998,C32
452,22,12,1.8099999999999998,0.24375,C32
453,22,13,1.8099999999999998,0.25925,C32
454,22,14,1.8099999999999998,0.27475,C32
455,22,15,1.8099999999999998,0.29025,C32
456,22,16,1.8099999999999998,0.30574999999999997,C32
457,22,17,1.8099999999999998,0.32125000000000004,C32
458,22,18,1.8099999999999998,0.33675,C32
459,22,19,1.8099999999999998,0.35224999999999995,C32
460,23,0,1.8459999999999999,0.05775,C30
461,23,1,1.8459999999999999,0.07325000000000001,C30
462,23,2,1.8459999999999999,0.08875,C30
463,23,3,1.8459999999999999,0.10425000000000001,C30
464,23,4,1.8459999999999999,0.11975,C31
465,23,5,1.8459999999999999,0.13525,C31
466,23,6,1.8459999999999999,0.15075,C31
467,23,7,1.8459999999999999,0.16625,C31
468,23,8,1.8459999999999999,0.18175,C31
469,23,9,1.8459999999999999,0.19725,C31
470,23,10,1.8459999999999999,0.21275,C32
471,23,11,1.8459999999999999,0.22824999999999998,C32
472,23,12,1.8459999999999999,0.24375,C32
473,23,13,1.8459999999999999,0.25925,C32
474,23,14,1.8459999999999999,0.27475,C32
475,23,15,1.8459999999999999,0.29025,C32
476,23,16,1.8459999999999999,0.30574999999999997,C32
477,23,17,1.8459999999999999,0.32125000000000004,C32
478,23,18,1.8459999999999999,0.33675,C32
479,23,19,1.8459999999999999,0.35224999999999995,C32
480,24,0,1.882,0.05775,C30
481,24,1,1.882,0.07325000000000001,C30
482,24,2,1.882,0.08875,C30
483,24,3,1.882,0.10425000000000001,C30
484,24,4,1.882,0.11975,C30
485,24,5,1.882,0.13525,C31
486,24,6,1.882,0.15075,C31
487,24,7,1.882,0.16625,C31
488,24,8,1.882,0.18175,C31
489,24,9,1.882,0.19725,C31
490,24,10,1.882,0.21275,C31
491,24,11,1.882,0.22824999999999998,C32
492,24,12,1.882,0.24375,C32
493,24,13,1.882,0.25925,C32
494,24,14,1.882,0.27475,C32
495,24,15,1.882,0.29025,C32
496,24,16,1.882,0.30574999999999997,C32
497,24,17,1.882,0.32125000000000004,C32
498,24,18,1.882,0.33675,C32
499,24,19,1.882,0.35224999999999995,C32
