chart_id,checkpoint,output_dir,family,mach_min,mach_max,eta_min,eta_max,n_anchor_mach,n_ci_anchors_new,status,reason
ETAEDGE_HM1,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/ETAEDGE_HM1/model_state.pt,assets/pinn_subsonic/joint_ci_mode_atlas_v2/ETAEDGE_HM1,pQscaled,0.68,0.86,0.02,0.06,5,20,READY,
ETAEDGE_HM2A,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/ETAEDGE_HM2A/model_state.pt,assets/pinn_subsonic/joint_ci_mode_atlas_v2/ETAEDGE_HM2A,pQscaled,0.84,0.93,0.02,0.06,5,20,READY,
ETAEDGE_HM2B,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/ETAEDGE_HM2B/model_state.pt,assets/pinn_subsonic/joint_ci_mode_atlas_v2/ETAEDGE_HM2B,pQscaled,0.92,0.98,0.02,0.06,5,20,READY,
ETAEDGE_LM,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/ETAEDGE_LM/model_state.pt,assets/pinn_subsonic/joint_ci_mode_atlas_v2/ETAEDGE_LM,pQscaled,0.05,0.35,0.02,0.06,5,20,READY,
ETAEDGE_MM,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/ETAEDGE_MM/model_state.pt,assets/pinn_subsonic/joint_ci_mode_atlas_v2/ETAEDGE_MM,pQscaled,0.3,0.7,0.02,0.06,5,20,READY,
HIGH_HIM,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/HIGH_HIM/model_state.pt,assets/pinn_subsonic/joint_ci_mode_atlas_v2/HIGH_HIM,pq_legacy,0.35,0.7,0.5,0.65,8,32,READY,
HIGH_LOWM_COMPACTY,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/HIGH_LOWM_COMPACTY/model_state.pt,assets/pinn_subsonic/joint_ci_mode_atlas_v2/HIGH_LOWM_COMPACTY,pq_legacy,0.1,0.4,0.55,0.65,7,28,READY,
HM1_HIGH,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/HM1_HIGH/model_state.pt,assets/pinn_subsonic/joint_ci_mode_atlas_v2/HM1_HIGH,pq_etaaware,0.7,0.85,0.55,0.65,4,16,READY,
HM1_LOW,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/HM1_LOW/model_state.pt,assets/pinn_subsonic/joint_ci_mode_atlas_v2/HM1_LOW,pq_etaaware,0.7,0.85,0.25,0.4,4,16,READY,
HM1_MID,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/HM1_MID/model_state.pt,assets/pinn_subsonic/joint_ci_mode_atlas_v2/HM1_MID,pq_etaaware,0.7,0.85,0.35,0.55,4,16,READY,
HM1_NEUTRAL1,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/HM1_NEUTRAL1/model_state.pt,assets/pinn_subsonic/joint_ci_mode_atlas_v2/HM1_NEUTRAL1,pq_etaaware,0.7,0.85,0.65,0.8,4,16,READY,
