Mach,eta,covered,selected_chart,selected_status,selected_role,n_candidates
0.25,0.7,True,NEUTRAL1_LOWM,validated,near_neutral_low_mach_compact_y,1
0.25,0.725,True,NEUTRAL1_LOWM,validated,near_neutral_low_mach_compact_y,1
0.25,0.75,True,NEUTRAL1_LOWM,validated,near_neutral_low_mach_compact_y,1
0.25,0.775,True,NEUTRAL1_LOWM,validated,near_neutral_low_mach_compact_y,1
0.25,0.8,True,NEUTRAL2_LOWM,validated,nearer_neutral_low_mach_compact_y,2
0.25,0.825,True,NEUTRAL2_LOWM,validated,nearer_neutral_low_mach_compact_y,1
0.25,0.85,True,NEUTRAL2_LOWM,validated,nearer_neutral_low_mach_compact_y,1
0.25,0.875,True,NEUTRAL2_LOWM,validated,nearer_neutral_low_mach_compact_y,1
0.25,0.9,True,NEUTRAL2_LOWM,validated,nearer_neutral_low_mach_compact_y,1
0.25,0.925,True,NEUTRAL3_LOWM,validated,near_neutral_limit_low_mach_very_compact_y,1
0.25,0.95,True,NEUTRAL3_LOWM,validated,near_neutral_limit_low_mach_very_compact_y,1
0.25,0.975,True,NEUTRAL3_LOWM,validated,near_neutral_limit_low_mach_very_compact_y,1
0.3,0.05,True,VLOW_EXTREME_CI_ONLY,ci_only,very_low_eta_ci_only_gep_required,1
0.3,0.075,True,VLOW_EXTREME_CI_ONLY,ci_only,very_low_eta_ci_only_gep_required,1
0.3,0.1,True,VLOW_EXTREME_CI_ONLY,ci_only,very_low_eta_ci_only_gep_required,1
0.3,0.125,True,VLOW_MOD_QSCALED,validated,very_low_eta_pQscaled,1
0.3,0.15,True,VLOW_MOD_QSCALED,validated,very_low_eta_pQscaled,1
0.3,0.175,True,VLOW_MOD_QSCALED,validated,very_low_eta_pQscaled,1
0.3,0.2,True,VLOW_MOD_QSCALED,validated,very_low_eta_pQscaled,1
0.3,0.225,True,VLOW_MOD_QSCALED,validated,very_low_eta_pQscaled,1
0.3,0.25,True,VLOW_MOD_QSCALED,validated,very_low_eta_pQscaled,2
0.3,0.275,True,LOW,validated,standard_eta_low,1
0.3,0.3,True,LOW,validated,standard_eta_low,1
0.3,0.325,True,LOW,validated,standard_eta_low,1
0.3,0.35,True,MID,validated,standard_eta_mid,2
0.3,0.375,True,MID,validated,standard_eta_mid,2
0.3,0.4,True,MID,validated,standard_eta_mid,2
0.3,0.425,True,MID,validated,standard_eta_mid,1
0.3,0.45,True,MID,validated,standard_eta_mid,1
0.3,0.475,True,MID,validated,standard_eta_mid,1
0.3,0.5,True,MID,validated,standard_eta_mid,1
0.3,0.525,True,MID,validated,standard_eta_mid,1
0.3,0.55,True,HIGH_LOWM_COMPACTY,validated,high_eta_low_mach_compact_y,2
0.3,0.575,True,HIGH_LOWM_COMPACTY,validated,high_eta_low_mach_compact_y,1
0.3,0.6,True,HIGH_LOWM_COMPACTY,validated,high_eta_low_mach_compact_y,1
0.3,0.625,True,HIGH_LOWM_COMPACTY,validated,high_eta_low_mach_compact_y,1
0.3,0.65,True,NEUTRAL1_LOWM,validated,near_neutral_low_mach_compact_y,2
0.3,0.675,True,NEUTRAL1_LOWM,validated,near_neutral_low_mach_compact_y,1
0.3,0.7,True,NEUTRAL1_LOWM,validated,near_neutral_low_mach_compact_y,1
0.3,0.725,True,NEUTRAL1_LOWM,validated,near_neutral_low_mach_compact_y,1
0.3,0.75,True,NEUTRAL1_LOWM,validated,near_neutral_low_mach_compact_y,1
0.3,0.775,True,NEUTRAL1_LOWM,validated,near_neutral_low_mach_compact_y,1
0.3,0.8,True,NEUTRAL2_LOWM,validated,nearer_neutral_low_mach_compact_y,2
0.3,0.825,True,NEUTRAL2_LOWM,validated,nearer_neutral_low_mach_compact_y,1
0.3,0.85,True,NEUTRAL2_LOWM,validated,nearer_neutral_low_mach_compact_y,1
0.3,0.875,True,NEUTRAL2_LOWM,validated,nearer_neutral_low_mach_compact_y,1
0.3,0.9,True,NEUTRAL2_LOWM,validated,nearer_neutral_low_mach_compact_y,1
0.3,0.925,True,NEUTRAL3_LOWM,validated,near_neutral_limit_low_mach_very_compact_y,1
0.3,0.95,True,NEUTRAL3_LOWM,validated,near_neutral_limit_low_mach_very_compact_y,1
0.3,0.975,True,NEUTRAL3_LOWM,validated,near_neutral_limit_low_mach_very_compact_y,1
0.35,0.05,True,VLOW_EXTREME_CI_ONLY,ci_only,very_low_eta_ci_only_gep_required,1
0.35,0.075,True,VLOW_EXTREME_CI_ONLY,ci_only,very_low_eta_ci_only_gep_required,1
0.35,0.1,True,VLOW_EXTREME_CI_ONLY,ci_only,very_low_eta_ci_only_gep_required,1
0.35,0.125,True,VLOW_MOD_QSCALED,validated,very_low_eta_pQscaled,1
0.35,0.15,True,VLOW_MOD_QSCALED,validated,very_low_eta_pQscaled,1
0.35,0.175,True,VLOW_MOD_QSCALED,validated,very_low_eta_pQscaled,1
0.35,0.2,True,VLOW_MOD_QSCALED,validated,very_low_eta_pQscaled,1
0.35,0.225,True,VLOW_MOD_QSCALED,validated,very_low_eta_pQscaled,1
0.35,0.25,True,VLOW_MOD_QSCALED,validated,very_low_eta_pQscaled,2
0.35,0.275,True,LOW,validated,standard_eta_low,1
0.35,0.3,True,LOW,validated,standard_eta_low,1
0.35,0.325,True,LOW,validated,standard_eta_low,1
0.35,0.35,True,MID,validated,standard_eta_mid,2
0.35,0.375,True,MID,validated,standard_eta_mid,2
0.35,0.4,True,MID,validated,standard_eta_mid,2
0.35,0.425,True,MID,validated,standard_eta_mid,1
0.35,0.45,True,MID,validated,standard_eta_mid,1
0.35,0.475,True,MID,validated,standard_eta_mid,1
0.35,0.5,True,MID,validated,standard_eta_mid,2
0.35,0.525,True,MID,validated,standard_eta_mid,2
0.35,0.55,True,HIGH_LOWM_COMPACTY,validated,high_eta_low_mach_compact_y,3
0.35,0.575,True,HIGH_LOWM_COMPACTY,validated,high_eta_low_mach_compact_y,2
0.35,0.6,True,HIGH_LOWM_COMPACTY,validated,high_eta_low_mach_compact_y,2
0.35,0.625,True,HIGH_LOWM_COMPACTY,validated,high_eta_low_mach_compact_y,2
0.35,0.65,True,NEUTRAL1_LOWM,validated,near_neutral_low_mach_compact_y,4
0.35,0.675,True,NEUTRAL1_LOWM,validated,near_neutral_low_mach_compact_y,2
0.35,0.7,True,NEUTRAL1_LOWM,validated,near_neutral_low_mach_compact_y,2
0.35,0.725,True,NEUTRAL1_LOWM,validated,near_neutral_low_mach_compact_y,2
0.35,0.75,True,NEUTRAL1_LOWM,validated,near_neutral_low_mach_compact_y,2
0.35,0.775,True,NEUTRAL1_LOWM,validated,near_neutral_low_mach_compact_y,2
0.35,0.8,True,NEUTRAL2_LOWM,validated,nearer_neutral_low_mach_compact_y,4
0.35,0.825,True,NEUTRAL2_LOWM,validated,nearer_neutral_low_mach_compact_y,2
0.35,0.85,True,NEUTRAL2_LOWM,validated,nearer_neutral_low_mach_compact_y,2
0.35,0.875,True,NEUTRAL2_LOWM,validated,nearer_neutral_low_mach_compact_y,2
0.35,0.9,True,NEUTRAL2_LOWM,validated,nearer_neutral_low_mach_compact_y,2
0.35,0.925,True,NEUTRAL3_LOWM,validated,near_neutral_limit_low_mach_very_compact_y,2
0.35,0.95,True,NEUTRAL3_LOWM,validated,near_neutral_limit_low_mach_very_compact_y,2
0.35,0.975,True,NEUTRAL3_LOWM,validated,near_neutral_limit_low_mach_very_compact_y,2
0.4,0.05,True,VLOW_EXTREME_CI_ONLY,ci_only,very_low_eta_ci_only_gep_required,1
0.4,0.075,True,VLOW_EXTREME_CI_ONLY,ci_only,very_low_eta_ci_only_gep_required,1
0.4,0.1,True,VLOW_EXTREME_CI_ONLY,ci_only,very_low_eta_ci_only_gep_required,1
0.4,0.125,True,VLOW_MOD_QSCALED,validated,very_low_eta_pQscaled,1
0.4,0.15,True,VLOW_MOD_QSCALED,validated,very_low_eta_pQscaled,1
0.4,0.175,True,VLOW_MOD_QSCALED,validated,very_low_eta_pQscaled,1
