stage1_multiplier,stage2_multiplier,stage1_threshold,stage2_threshold,n_technical_success,technical_success_rate
0.25,0.25,0.0125,0.0025,472,0.944
0.25,0.5,0.0125,0.005,472,0.944
0.25,1.0,0.0125,0.01,472,0.944
0.25,2.0,0.0125,0.02,472,0.944
0.5,0.25,0.025,0.0025,500,1.0
0.5,0.5,0.025,0.005,500,1.0
0.5,1.0,0.025,0.01,500,1.0
0.5,2.0,0.025,0.02,500,1.0
1.0,0.25,0.05,0.0025,500,1.0
1.0,0.5,0.05,0.005,500,1.0
1.0,1.0,0.05,0.01,500,1.0
1.0,2.0,0.05,0.02,500,1.0
2.0,0.25,0.1,0.0025,500,1.0
2.0,0.5,0.1,0.005,500,1.0
2.0,1.0,0.1,0.01,500,1.0
2.0,2.0,0.1,0.02,500,1.0
