chart_id,point_index,Mach,eta,alpha,field_family,gep_regime,N,mapping_kind,mapping_scale,xi_max,continuation_required,technical_success,reference_success,selection_error,reference_error,ci_ref_diagnostic,ci_pred_diagnostic,ci_pinn,n_raw_eigenvalues,n_physically_admissible_modes,scalar_gep_raw_index,scalar_gep_cr,scalar_gep_ci,scalar_gep_omega_i,scalar_gep_distance,scalar_gep_ci_weight,ci_classic,gep_p_rel_classic,gep_rho_rel_classic,gep_u_rel_classic,gep_v_rel_classic,gep_p_overlap_classic,ci_ref,ci_pinn_abs_err_classic,ci_pinn_scaled_err_classic,scalar_gep_ci_abs_err_classic,scalar_gep_ci_scaled_err_classic
ETAEDGE_HM1,0,0.68,0.025,0.0183303027798233,pQscaled,longwave_map10_N301,301,pin,10.0,0.99,False,True,True,,,0.6714804503269557,0.6722057367445691,0.6722057367445691,901,111,591,-1.1018372111901659e-13,0.6717642686575268,0.012313642441159,0.0008829361740845,2.0,0.6715035322347859,2.3891531611800552e-05,2.3891531611791797e-05,0.0008216025096863,0.0002330192894815,0.9999999997145976,0.6715035322347859,0.0007022045097831,0.0010457197558533,0.0002607364227409,0.0003882874925068
ETAEDGE_HM1,1,0.68,0.04,0.0293284844477173,pQscaled,longwave_map10_N301,301,pin,10.0,0.99,False,True,True,,,0.6557030485058343,0.6591633010198004,0.6591633010198005,901,112,587,4.5277084893223857e-14,0.6559887595139754,0.0192391561312829,0.0063490830116501,2.0,0.6557102144862521,1.6541891376374642e-05,1.6541891376376305e-05,0.0008685940164634,0.0002590643677806,0.999999999863183,0.6557102144862521,0.0034530865335483,0.0052661777371484,0.0002785450277232,0.0004247989760866
ETAEDGE_HM1,2,0.68,0.055,0.0403266661156113,pQscaled,longwave_map10_N301,301,pin,10.0,0.99,False,True,True,,,0.6402973626638216,0.6479800893910943,0.6479800893910945,901,117,582,-5.325034094166068e-13,0.6405677085746475,0.025831960108132,0.014824761632894,2.0,0.6403117380812271,2.203791850821092e-05,2.203791850821029e-05,0.0008703843703223,0.0002433443062017,0.999999999757165,0.6403117380812271,0.0076683513098674,0.0119759655396082,0.0002559704934204,0.0003997591769712
ETAEDGE_HM1,3,0.77,0.025,0.0159510971409492,pQscaled,longwave_map10_N301,301,pin,10.0,0.99,False,True,True,,,0.6165066381283586,0.6114773031206744,0.6114773031206746,901,111,590,5.4909521678672404e-14,0.6168381388519463,0.0098392450730697,0.0107216714625433,2.0,0.6165300877184303,5.1251034409605605e-05,5.125103440960052e-05,0.0008631464751677,0.0002642069371322,0.9999999986866658,0.6165300877184303,0.0050527845977557,0.008195519891745,0.0003080511335159,0.0004996530415181
ETAEDGE_HM1,4,0.77,0.04,0.0255217554255188,pQscaled,longwave_map10_N301,301,pin,10.0,0.99,False,True,True,,,0.6024629350369386,0.5870152376536685,0.5870152376536685,901,153,587,-6.014006916079627e-14,0.6027707455846446,0.0153837675464689,0.0315110158619522,2.0,0.6024734949367822,1.903610536302212e-05,1.9036105363022776e-05,0.0008823022422678,0.0002867240767895,0.9999999998188134,0.6024734949367822,0.0154582572831136,0.0256579873023886,0.0002972506478624,0.0004933837759844
ETAEDGE_HM1,5,0.77,0.055,0.0350924137100884,pQscaled,longwave_map10_N301,301,pin,10.0,0.99,False,True,True,,,0.5887112151215433,0.5723962758202857,0.5723962758202857,901,115,582,4.208106236370356e-13,0.5890072720490892,0.0206696868689972,0.0332219924576069,2.0,0.5887025091871301,2.625661096363204e-05,2.6256610963637457e-05,0.0009137373127308,0.0002972105479316,0.9999999996552954,0.5887025091871301,0.0163062333668443,0.0276985966806217,0.0003047628619591,0.0005176856853896
ETAEDGE_HM1,6,0.86,0.025,0.012757350822173,pQscaled,longwave_map10_N301,301,pin,10.0,0.99,False,True,True,,,0.5612357829792347,0.5822206729680621,0.5822206729680625,901,108,590,2.884563593021788e-13,0.5618199052762979,0.0071673336304897,0.0408015353835291,2.0,0.5612680950072376,0.0003755287923844,0.0003755287923844,0.0020924677672306,0.0007541111101634,0.9999999294890608,0.5612680950072376,0.0209525779608248,0.0373307838931315,0.0005518102690602,0.0009831491830176
ETAEDGE_HM1,7,0.86,0.04,0.0204117613154769,pQscaled,longwave_map10_N301,301,pin,10.0,0.99,False,True,True,,,0.5494439548201733,0.5572458993577167,0.5572458993577167,901,116,586,-1.231294812000949e-13,0.549790081482232,0.0112221839168319,0.0149116357509695,2.0,0.5494386338497248,3.080698169172503e-05,3.080698169172498e-05,0.0009484099159324,0.0003521208034727,0.9999999995254648,0.5494386338497248,0.0078072655079919,0.0142095313780342,0.0003514476325071,0.0006396485628334
ETAEDGE_HM1,8,0.86,0.055,0.0280661718087807,pQscaled,longwave_map10_N301,301,pin,10.0,0.99,False,True,True,,,0.5378228773460405,0.5448734492770109,0.5448734492770109,901,116,584,2.912455378815746e-13,0.5381698915772859,0.0151043686393209,0.0134071153994499,2.0,0.5378292002308479,2.8095280119114226e-05,2.8095280119113355e-05,0.0009356607399283,0.0003432619960827,0.999999999605328,0.5378292002308479,0.0070442490461629,0.0130975578178712,0.0003406913464379,0.0006334563952492
ETAEDGE_HM2A,0,0.84,0.025,0.0135646599662505,pQscaled,longwave_map10_N301,301,pin,10.0,0.99,False,True,True,,,0.5735086980971678,0.5046292027870147,0.5046292027870145,901,108,590,3.770696188582434e-13,0.5739746364758613,0.0077857707730473,0.1386908673776936,2.0,0.5735251317446493,0.000139403792451,0.000139403792451,0.0014915123672466,0.0005215435714352,0.9999999902832912,0.5735251317446493,0.0688959289576347,0.1201271315662402,0.000449504731212,0.0007837576879058
ETAEDGE_HM2A,1,0.84,0.04,0.0217034559460008,pQscaled,longwave_map10_N301,301,pin,10.0,0.99,False,True,True,,,0.5611082687660541,0.5474043299497303,0.54740432994973,901,146,586,3.8896039602547816e-14,0.5614637536472208,0.0121857038425587,0.0281188473949816,2.0,0.5611212311347018,2.044926645698619e-05,2.0449266456974835e-05,0.0009265288417021,0.0003380470665569,0.9999999997909136,0.5611212311347018,0.0137169011849718,0.0244455216161282,0.0003425225125189,0.0006104251514888
